date,time,temperature,humidity,deviceAddress,baudRate,temperatureCorrection,humidityCorrection
2026-08-29,15-26-32,26.6,65.7,1,9600,0,0
2026-08-29,15-26-34,26.6,65.7,1,9600,0,0
2026-08-29,15-26-37,26.6,65.7,1,9600,0,0
2026-08-29,15-26-39,26.7,65.7,1,9600,0,0
2026-08-29,15-26-41,26.7,65.7,1,9600,0,0
2026-08-29,15-26-43,26.7,65.7,1,9600,0,0
2026-08-29,15-26-45,26.7,65.7,1,9600,0,0
2026-08-29,15-26-48,26.7,65.7,1,9600,0,0
2026-08-29,15-26-50,26.7,65.8,1,9600,0,0
2026-08-29,15-26-52,26.7,65.8,1,9600,0,0
2026-08-29,15-26-54,26.7,65.8,1,9600,0,0
2026-08-29,15-26-56,26.7,65.8,1,9600,0,0
2026-08-29,15-26-58,26.7,65.8,1,9600,0,0
2026-08-29,15-27-01,26.7,65.8,1,9600,0,0
2026-08-29,15-27-03,26.7,65.8,1,9600,0,0
2026-08-29,15-27-05,26.7,65.8,1,9600,0,0
2026-08-29,15-27-07,26.7,65.8,1,9600,0,0
2026-08-29,15-27-09,26.7,65.8,1,9600,0,0
2026-08-29,15-27-12,26.7,65.8,1,9600,0,0
