date,time,temperature,humidity,deviceAddress,baudRate,temperatureCorrection,humidityCorrection
2026-09-06,12-53-59,26.6,44.1,1,19200,0,0
2026-09-06,12-54-02,26.6,44.1,1,19200,0,0
2026-09-06,12-54-04,26.6,44.1,1,19200,0,0
2026-09-06,12-54-06,26.6,44.0,1,19200,0,0
2026-09-06,12-54-08,26.6,44.0,1,19200,0,0
2026-09-06,12-54-10,26.6,44.0,1,19200,0,0
2026-09-06,12-54-12,26.6,44.0,1,19200,0,0
2026-09-06,12-54-14,26.6,43.9,1,19200,0,0
2026-09-06,12-54-16,26.6,43.9,1,19200,0,0
2026-09-06,12-54-18,26.6,43.9,1,19200,0,0
2026-09-06,12-54-20,26.6,43.9,1,19200,0,0
2026-09-06,12-54-23,26.6,44.0,1,19200,0,0
